"id";"title";"legal_areas";"revisions";"nodes";"log_nodes";"log_section_nodes";"text_nodes";"nontext_nodes";"above_section_nodes";"section_nodes";"below_section_nodes";"mean_depth";"mean_leaf_depth";"tokens";"tokens_per_section";"tokens_per_text_node";"entropy_lemma";"entropy_word";"num_words";"num_sentences";"avg_sentence_length";"avg_syllables_per_word";"avg_word_length";"citations";"citations_internal";"citations_out";"citations_in";"citations_external";"net_flow";"net_flow_per_section";"flesch";"bijlage_cits";"unkown_doc";"empty_doc";"bad_doc"
"BWBR0006502";"Algemene wet gelijke behandeling ";"Arbeidsrecht en sociaal-zekerheidsrecht";15;92;1.9637878273455553;1.2041199826559248;75;17;7;16;68;3.9456521739130435;4.412698412698413;1915;119.6875;25.533333333333335;5.369027814806805;5.492540859764704;1890;98;19.184444444444445;2.134890618999044;6.343780104452014;23;14;9;18;27;-9;-0.5625;6.7510425215697865;0;0;0;0
"BWBR0006523";"Rijkswet houdende goedkeuring en uitvoering Overeenkomst met VS inzake wederzijdse samenwerking bij de opsporing, inbeslagneming en confiscatie van de opbrengsten van en hulpmiddelen voor misdrijven en de verdeling van geconfisqueerde voorwerpen";"Strafrecht";1;5;0.6989700043360189;0.6020599913279624;4;1;0;4;0;0.8;1.0;248;62.0;62.0;4.179926304571666;4.192614508562254;231;8;29.916666666666668;1.9180123227742274;5.605278745644599;2;2;0;0;0;0;0.0;14.2057408266337;0;0;0;0
"BWBR0006546";"Wet beëdiging van de regent";"Staats- en bestuursrecht";1;6;0.7781512503836436;0.47712125471966244;4;2;0;3;2;1.1666666666666667;1.5;281;93.66666666666667;70.25;4.28356198770458;4.25664152102421;279;14;19.055555555555557;1.6595462093763724;4.926908349802371;4;0;4;0;4;4;1.3333333333333333;47.09600179787;0;0;0;0
"BWBR0006547";"Wet financiële betrekkingen buitenland 1994";"Financieel en economisch recht";9;61;1.7853298350107671;1.2787536009528289;51;10;0;19;41;1.7540983606557377;1.9375;1483;78.05263157894737;29.07843137254902;5.204118224634234;5.344039011506807;1458;81;21.183006535947715;2.0223555736202394;5.818546133048921;16;11;5;11;16;-6;-0.3157894736842105;14.242966837740823;0;0;0;0
"BWBR0006612";"Wet Incompatibiliteiten Staten-Generaal en Europees Parlement";"Staats- en bestuursrecht";7;69;1.8388490907372552;1.0791812460476249;60;9;0;12;56;2.1739130434782608;2.392857142857143;1638;136.5;27.3;5.0295255453133105;5.111595978007269;1572;87;21.10555555555555;2.0477518922277156;6.171065200304942;27;7;20;2;22;18;1.5;12.173051028646398;0;0;0;0
"BWBR0006622";"Wegenverkeerswet 1994";"Vervoersrecht";115;1926;3.2846562827885157;2.5118833609788744;1621;305;77;325;1523;3.9018691588785046;4.192704748795595;53376;164.23384615384614;32.92782233189389;6.345393878488206;6.567767588375606;52685;2233;25.856564143239034;1.9531814819110374;5.771852309779474;885;621;185;466;651;-281;-0.8646153846153846;15.35143402493864;0;0;0;0
"BWBR0006667";"Wet op de adeldom";"Personen- en familierecht";2;22;1.3424226808222062;0.9542425094393249;18;4;0;9;12;1.6363636363636365;1.8235294117647058;381;42.333333333333336;21.166666666666668;4.414961093172115;4.499145902982524;380;28;15.240740740740742;1.850487236031964;5.528159932253082;1;0;1;0;1;1;0.1111111111111111;34.81442797984403;0;0;0;0
"BWBR0006685";"Wet Centraal Orgaan opvang asielzoekers";"Migratierecht";11;82;1.9138138523837167;1.3222192947339193;63;19;5;21;55;2.768292682926829;3.135593220338983;1240;59.04761904761905;19.682539682539684;5.110251135553876;5.2441811321623675;1212;81;16.42989417989418;1.8906105207877353;5.5963751650588165;32;4;25;10;35;15;0.7142857142857143;30.213007348765018;0;1;0;1
"BWBR0006690";"Wet verlaging van verschuldigde pensioenbijdrage Spoorwegpensioenwet geldend tot privatisering";"Arbeidsrecht en sociaal-zekerheidsrecht";1;9;0.9542425094393249;0.6020599913279624;6;3;0;4;4;1.3333333333333333;1.6666666666666667;263;65.75;43.833333333333336;4.152790905177519;4.135594637338905;255;11;25.805555555555554;1.8574191160509361;5.590868314961592;0;0;0;0;0;0;0.0;23.504703893201935;0;0;0;0
"BWBR0006747";"Wet voortzetting tijdelijke verhoging op grond van de Wet individuele huursubsidie toe te kennen bijdragen";"Wonen, onroerend goed, bouwrecht";1;4;0.6020599913279624;0.47712125471966244;3;1;0;3;0;0.75;1.0;189;63.0;63.0;3.3849479083624976;3.45801513523495;167;3;63.0;1.693873347563944;4.725481000481;0;0;0;0;0;0;0.0;-0.41168520390962726;0;0;0;0
"BWBR0006763";"Algemene wet op het binnentreden";"Procesrecht";2;60;1.7781512503836436;1.1760912590556813;46;14;4;15;40;2.8;3.2142857142857144;1433;95.53333333333333;31.152173913043477;4.999055914470359;5.132728310449725;1427;78;17.690942028985507;1.8884326157357774;5.574712596808337;6;5;1;68;69;-67;-4.466666666666667;29.117294549332968;0;0;0;0
"BWBR0006799";"Rijkswet goedkeuring en bekendmaking verdragen";"Internationaal publiekrecht";5;93;1.968482948553935;1.414973347970818;76;17;0;26;66;1.7419354838709677;1.9583333333333333;2167;83.34615384615384;28.513157894736842;5.141219352331371;5.2229756325248236;2140;102;22.263157894736846;1.9556897108798748;5.89525763087862;27;22;5;0;5;5;0.19230769230769232;18.786545196404717;0;0;0;0
"BWBR0006803";"Wet explosieven voor civiel gebruik";"Openbare orde en veiligheidsrecht";16;337;2.5276299008713385;1.8808135922807914;280;57;19;76;241;3.658753709198813;3.9670781893004117;7497;98.64473684210526;26.775;6.001950065164333;6.188666243602691;7415;397;21.008333333333333;2.009147335243798;5.924692055950526;109;42;13;19;32;-6;-0.07894736842105263;15.537677105041382;0;0;0;0
"BWBR0006968";"Wet vrijwillige zetelverplaatsing derde landen";"Ondernemingspraktijk";2;46;1.662757831681574;0.9030899869919435;39;7;0;8;37;1.9782608695652173;2.1944444444444446;1236;154.5;31.692307692307693;4.8519992522181905;4.941373718905195;1227;73;18.205128205128204;1.87112779695418;5.6975949463255064;10;8;2;0;2;2;0.25;30.059383249471267;0;0;0;0
